instName, numOfJobs, numOfThreads, timeLimit, timeCost, feasible, optimal, numOfNodes, globalUB, globalLB, gap,timeOnModel, timeOnOptimize, numOfVariables, numOfConstraints
L_00000222,50,1 , 3600.0,1.737 , true, true,49.0,1368, 1368, 0.000 , 0.005, 1.732,2601, 251
L_00000223,50,1 , 3600.0,1.300 , true, true,66.0,1370, 1370, 0.000 , 0.004, 1.296,2601, 251
L_00000224,50,1 , 3600.0,12.132 , true, true,512.0,1520, 1520, 0.000 , 0.007, 12.125,2601, 251
L_00000225,50,1 , 3600.0,1.352 , true, true,15.0,1502, 1502, 0.000 , 0.006, 1.346,2601, 251
L_00000226,50,1 , 3600.0,0.993 , true, true,13.0,1280, 1280, 0.000 , 0.004, 0.989,2601, 251
L_00000227,50,1 , 3600.0,2.094 , true, true,59.0,1623, 1623, 0.000 , 0.004, 2.090,2601, 251
L_00000228,50,1 , 3600.0,1.221 , true, true,15.0,1356, 1356, 0.000 , 0.006, 1.215,2601, 251
L_00000229,50,1 , 3600.0,2.419 , true, true,102.0,1394, 1394, 0.000 , 0.006, 2.413,2601, 251
L_00000230,50,1 , 3600.0,1.001 , true, true,15.0,1415, 1415, 0.000 , 0.006, 0.995,2601, 251
L_00000231,50,1 , 3600.0,1.029 , true, true,13.0,1157, 1157, 0.000 , 0.004, 1.025,2601, 251
L_00000232,50,1 , 3600.0,0.601 , true, true,1.0,1291, 1291, 0.000 , 0.006, 0.595,2601, 251
L_00000233,50,1 , 3600.0,0.963 , true, true,13.0,1247, 1247, 0.000 , 0.005, 0.958,2601, 251
L_00000234,50,1 , 3600.0,1.140 , true, true,20.0,1581, 1581, 0.000 , 0.004, 1.136,2601, 251
L_00000235,50,1 , 3600.0,1.251 , true, true,18.0,1246, 1246, 0.000 , 0.005, 1.246,2601, 251
L_00000236,50,1 , 3600.0,0.914 , true, true,15.0,1431, 1431, 0.000 , 0.006, 0.908,2601, 251
