algoName, instName, numOfJobs, feasible, timeLimit, timeCost,ub, lb, status, numOfVariables, numOfConstraints, nThreads
Mixed Integer Linear Programming,L_00000180,40,true, 60.0, 0.717, 1058, 1058, 2, 1681, 201, 0
Mixed Integer Linear Programming,L_00000181,40,true, 60.0, 0.604, 1290, 1290, 2, 1681, 201, 0
Mixed Integer Linear Programming,L_00000182,40,true, 60.0, 0.660, 1238, 1238, 2, 1681, 201, 0
Mixed Integer Linear Programming,L_00000183,40,true, 60.0, 2.178, 1109, 1109, 2, 1681, 201, 0
Mixed Integer Linear Programming,L_00000184,40,true, 60.0, 0.643, 1062, 1062, 2, 1681, 201, 0
Mixed Integer Linear Programming,L_00000185,40,true, 60.0, 0.717, 1047, 1047, 2, 1681, 201, 0
Mixed Integer Linear Programming,L_00000186,40,true, 60.0, 0.574, 1025, 1025, 2, 1681, 201, 0
Mixed Integer Linear Programming,L_00000187,40,true, 60.0, 0.617, 967, 967, 2, 1681, 201, 0
Mixed Integer Linear Programming,L_00000188,40,true, 60.0, 1.300, 1138, 1138, 2, 1681, 201, 0
Mixed Integer Linear Programming,L_00000189,40,true, 60.0, 0.630, 1171, 1171, 2, 1681, 201, 0
Mixed Integer Linear Programming,L_00000190,40,true, 60.0, 0.091, 1075, 1075, 2, 1681, 201, 0
Mixed Integer Linear Programming,L_00000191,40,true, 60.0, 0.756, 1000, 1000, 2, 1681, 201, 0
Mixed Integer Linear Programming,L_00000192,40,true, 60.0, 1.065, 1197, 1197, 2, 1681, 201, 0
Mixed Integer Linear Programming,L_00000193,40,true, 60.0, 0.916, 1224, 1224, 2, 1681, 201, 0
Mixed Integer Linear Programming,L_00000194,40,true, 60.0, 0.587, 1170, 1170, 2, 1681, 201, 0
Mixed Integer Linear Programming,L_00000195,40,true, 60.0, 0.539, 939, 939, 2, 1681, 201, 0
Mixed Integer Linear Programming,L_00000196,40,true, 60.0, 0.633, 1126, 1126, 2, 1681, 201, 0
Mixed Integer Linear Programming,L_00000197,40,true, 60.0, 0.612, 1015, 1015, 2, 1681, 201, 0
Mixed Integer Linear Programming,L_00000198,40,true, 60.0, 0.796, 1236, 1236, 2, 1681, 201, 0
