algoName, instName, numOfJobs, feasible, timeLimit, timeCost,ub, lb, status, numOfVariables, numOfConstraints, nThreads
L_00000155,Mixed Integer Linear Programming, true, 60.0, 0.531, 1186, 1186, 2, 1681, 201, 0
L_00000156,Mixed Integer Linear Programming, true, 60.0, 0.585, 1162, 1162, 2, 1681, 201, 0
L_00000157,Mixed Integer Linear Programming, true, 60.0, 0.916, 1247, 1247, 2, 1681, 201, 0
L_00000158,Mixed Integer Linear Programming, true, 60.0, 0.789, 1174, 1174, 2, 1681, 201, 0
L_00000159,Mixed Integer Linear Programming, true, 60.0, 0.783, 1198, 1198, 2, 1681, 201, 0
L_00000160,Mixed Integer Linear Programming, true, 60.0, 1.849, 1323, 1323, 2, 1681, 201, 0
L_00000161,Mixed Integer Linear Programming, true, 60.0, 0.670, 1024, 1024, 2, 1681, 201, 0
L_00000162,Mixed Integer Linear Programming, true, 60.0, 1.291, 1133, 1133, 2, 1681, 201, 0
L_00000163,Mixed Integer Linear Programming, true, 60.0, 0.946, 1130, 1130, 2, 1681, 201, 0
L_00000164,Mixed Integer Linear Programming, true, 60.0, 0.715, 1158, 1158, 2, 1681, 201, 0
L_00000165,Mixed Integer Linear Programming, true, 60.0, 1.345, 1117, 1117, 2, 1681, 201, 0
L_00000166,Mixed Integer Linear Programming, true, 60.0, 0.651, 1055, 1055, 2, 1681, 201, 0
L_00000167,Mixed Integer Linear Programming, true, 60.0, 0.578, 1286, 1286, 2, 1681, 201, 0
L_00000168,Mixed Integer Linear Programming, true, 60.0, 0.662, 1246, 1246, 2, 1681, 201, 0
L_00000169,Mixed Integer Linear Programming, true, 60.0, 0.533, 1044, 1044, 2, 1681, 201, 0
L_00000170,Mixed Integer Linear Programming, true, 60.0, 0.659, 1022, 1022, 2, 1681, 201, 0
L_00000171,Mixed Integer Linear Programming, true, 60.0, 0.617, 1079, 1079, 2, 1681, 201, 0
L_00000172,Mixed Integer Linear Programming, true, 60.0, 0.956, 1176, 1176, 2, 1681, 201, 0
L_00000173,Mixed Integer Linear Programming, true, 60.0, 0.510, 1074, 1074, 2, 1681, 201, 0
L_00000174,Mixed Integer Linear Programming, true, 60.0, 0.594, 1111, 1111, 2, 1681, 201, 0
L_00000175,Mixed Integer Linear Programming, true, 60.0, 0.715, 1113, 1113, 2, 1681, 201, 0
L_00000176,Mixed Integer Linear Programming, true, 60.0, 0.574, 1005, 1005, 2, 1681, 201, 0
L_00000177,Mixed Integer Linear Programming, true, 60.0, 0.592, 1181, 1181, 2, 1681, 201, 0
L_00000178,Mixed Integer Linear Programming, true, 60.0, 0.930, 1139, 1139, 2, 1681, 201, 0
L_00000179,Mixed Integer Linear Programming, true, 60.0, 0.533, 1203, 1203, 2, 1681, 201, 0
L_00000180,Mixed Integer Linear Programming, true, 60.0, 0.705, 1058, 1058, 2, 1681, 201, 0
L_00000181,Mixed Integer Linear Programming, true, 60.0, 0.706, 1290, 1290, 2, 1681, 201, 0
L_00000182,Mixed Integer Linear Programming, true, 60.0, 0.678, 1238, 1238, 2, 1681, 201, 0
