instName, numOfJobs, numOfThreads, timeLimit, timeCost, feasible, optimal, numOfNodes, globalUB, globalLB, gap,timeOnModel, timeOnOptimize, numOfVariables, numOfConstraints, gurobiModelStatus
L_00000141, 30, 1, 3600.0, 0.364, true, true, 8, 680, 680, 0.000 , 0.002, 0.362, 961, 151, 2
L_00000142, 30, 1, 3600.0, 0.339, true, true, 8, 713, 713, 0.000 , 0.002, 0.337, 961, 151, 2
L_00000143, 30, 1, 3600.0, 0.323, true, true, 9, 755, 755, 0.000 , 0.001, 0.322, 961, 151, 2
L_00000144, 30, 1, 3600.0, 0.349, true, true, 8, 775, 775, 0.000 , 0.001, 0.348, 961, 151, 2
L_00000145, 30, 1, 3600.0, 0.348, true, true, 8, 789, 789, 0.000 , 0.001, 0.347, 961, 151, 2
L_00000146, 30, 1, 3600.0, 0.477, true, true, 8, 836, 836, 0.000 , 0.002, 0.475, 961, 151, 2
L_00000147, 30, 1, 3600.0, 0.401, true, true, 8, 772, 772, 0.000 , 0.003, 0.398, 961, 151, 2
L_00000148, 30, 1, 3600.0, 0.354, true, true, 8, 825, 825, 0.000 , 0.001, 0.353, 961, 151, 2
L_00000149, 30, 1, 3600.0, 0.307, true, true, 9, 814, 814, 0.000 , 0.002, 0.305, 961, 151, 2
L_00000150, 40, 1, 3600.0, 0.572, true, true, 13, 1220, 1220, 0.000 , 0.003, 0.569, 1681, 201, 2
L_00000151, 40, 1, 3600.0, 0.682, true, true, 34, 1140, 1140, 0.000 , 0.002, 0.680, 1681, 201, 2
L_00000152, 40, 1, 3600.0, 0.880, true, true, 32, 1049, 1049, 0.000 , 0.002, 0.878, 1681, 201, 2
L_00000153, 40, 1, 3600.0, 0.670, true, true, 12, 1151, 1151, 0.000 , 0.004, 0.666, 1681, 201, 2
L_00000154, 40, 1, 3600.0, 0.573, true, true, 20, 988, 988, 0.000 , 0.002, 0.571, 1681, 201, 2
L_00000155, 40, 1, 3600.0, 0.590, true, true, 13, 1186, 1186, 0.000 , 0.003, 0.587, 1681, 201, 2
L_00000156, 40, 1, 3600.0, 0.991, true, true, 35, 1162, 1162, 0.000 , 0.002, 0.989, 1681, 201, 2
L_00000157, 40, 1, 3600.0, 0.819, true, true, 32, 1247, 1247, 0.000 , 0.003, 0.816, 1681, 201, 2
L_00000158, 40, 1, 3600.0, 0.972, true, true, 35, 1174, 1174, 0.000 , 0.003, 0.969, 1681, 201, 2
L_00000159, 40, 1, 3600.0, 0.692, true, true, 28, 1198, 1198, 0.000 , 0.003, 0.689, 1681, 201, 2
L_00000160, 40, 1, 3600.0, 1.097, true, true, 97, 1323, 1323, 0.000 , 0.003, 1.094, 1681, 201, 2
L_00000161, 40, 1, 3600.0, 0.634, true, true, 10, 1024, 1024, 0.000 , 0.003, 0.631, 1681, 201, 2
L_00000162, 40, 1, 3600.0, 0.665, true, true, 23, 1133, 1133, 0.000 , 0.002, 0.663, 1681, 201, 2
L_00000163, 40, 1, 3600.0, 0.808, true, true, 112, 1130, 1130, 0.000 , 0.003, 0.805, 1681, 201, 2
L_00000164, 40, 1, 3600.0, 0.527, true, true, 13, 1158, 1158, 0.000 , 0.003, 0.524, 1681, 201, 2
L_00000165, 40, 1, 3600.0, 0.677, true, true, 12, 1117, 1117, 0.000 , 0.003, 0.674, 1681, 201, 2
L_00000166, 40, 1, 3600.0, 0.705, true, true, 31, 1055, 1055, 0.000 , 0.003, 0.702, 1681, 201, 2
L_00000167, 40, 1, 3600.0, 0.668, true, true, 12, 1286, 1286, 0.000 , 0.002, 0.666, 1681, 201, 2
L_00000168, 40, 1, 3600.0, 1.731, true, true, 188, 1246, 1246, 0.000 , 0.002, 1.729, 1681, 201, 2
L_00000169, 40, 1, 3600.0, 0.639, true, true, 10, 1044, 1044, 0.000 , 0.003, 0.636, 1681, 201, 2
L_00000170, 40, 1, 3600.0, 0.674, true, true, 11, 1022, 1022, 0.000 , 0.002, 0.672, 1681, 201, 2
L_00000171, 40, 1, 3600.0, 0.099, true, true, 1, 1079, 1079, 0.000 , 0.003, 0.096, 1681, 201, 2
L_00000172, 40, 1, 3600.0, 0.693, true, true, 35, 1176, 1176, 0.000 , 0.003, 0.690, 1681, 201, 2
L_00000173, 40, 1, 3600.0, 0.084, true, true, 1, 1074, 1074, 0.000 , 0.002, 0.082, 1681, 201, 2
L_00000174, 40, 1, 3600.0, 1.106, true, true, 32, 1111, 1111, 0.000 , 0.003, 1.103, 1681, 201, 2
L_00000175, 40, 1, 3600.0, 0.695, true, true, 12, 1113, 1113, 0.000 , 0.002, 0.693, 1681, 201, 2
L_00000176, 40, 1, 3600.0, 0.601, true, true, 11, 1005, 1005, 0.000 , 0.003, 0.598, 1681, 201, 2
L_00000177, 40, 1, 3600.0, 0.588, true, true, 13, 1181, 1181, 0.000 , 0.002, 0.586, 1681, 201, 2
L_00000178, 40, 1, 3600.0, 1.388, true, true, 83, 1139, 1139, 0.000 , 0.002, 1.386, 1681, 201, 2
L_00000179, 40, 1, 3600.0, 0.597, true, true, 13, 1203, 1203, 0.000 , 0.002, 0.595, 1681, 201, 2
L_00000180, 40, 1, 3600.0, 0.623, true, true, 10, 1058, 1058, 0.000 , 0.002, 0.621, 1681, 201, 2
L_00000181, 40, 1, 3600.0, 0.788, true, true, 13, 1290, 1290, 0.000 , 0.003, 0.785, 1681, 201, 2
L_00000182, 40, 1, 3600.0, 0.659, true, true, 13, 1238, 1238, 0.000 , 0.003, 0.656, 1681, 201, 2
L_00000183, 40, 1, 3600.0, 0.734, true, true, 73, 1109, 1109, 0.000 , 0.003, 0.731, 1681, 201, 2
L_00000184, 40, 1, 3600.0, 0.617, true, true, 11, 1062, 1062, 0.000 , 0.002, 0.615, 1681, 201, 2
L_00000185, 40, 1, 3600.0, 0.557, true, true, 11, 1047, 1047, 0.000 , 0.002, 0.555, 1681, 201, 2
L_00000186, 40, 1, 3600.0, 0.609, true, true, 11, 1025, 1025, 0.000 , 0.002, 0.607, 1681, 201, 2
L_00000187, 40, 1, 3600.0, 0.607, true, true, 10, 967, 967, 0.000 , 0.003, 0.604, 1681, 201, 2
L_00000188, 40, 1, 3600.0, 1.005, true, true, 37, 1138, 1138, 0.000 , 0.003, 1.002, 1681, 201, 2
L_00000189, 40, 1, 3600.0, 2.411, true, true, 533, 1171, 1171, 0.000 , 0.003, 2.408, 1681, 201, 2
L_00000190, 40, 1, 3600.0, 0.601, true, true, 1, 1075, 1075, 0.000 , 0.003, 0.598, 1681, 201, 2
L_00000191, 40, 1, 3600.0, 0.855, true, true, 10, 1000, 1000, 0.000 , 0.003, 0.852, 1681, 201, 2
L_00000192, 40, 1, 3600.0, 0.706, true, true, 12, 1197, 1197, 0.000 , 0.002, 0.704, 1681, 201, 2
